comments,samsung,apple,token,samsung/manually,apple/manually
» در پاسخ به نظر R B به تاریخ 1399/3/26 (برای نمایش نظر کلیک کنید...) آره,Neutral,Neutral,50,Neutral,Neutral
"» در پاسخ به نظر آریانا ا به تاریخ 1399/2/11 (برای نمایش نظر کلیک کنید...) سلام منم برا نقاشی میخامش ، شما خریدی ؟ راضی هستی؟",Neutral,Neutral,89,Neutral,Neutral
» در پاسخ به نظر عبداله ع به تاریخ 1399/3/7 (برای نمایش نظر کلیک کنید...) مبارک باشه,Neutral,Neutral,57,Neutral,Neutral
"» در پاسخ به نظر White H به تاریخ 1399/3/4 (برای نمایش نظر کلیک کنید...) سوال اولت جوابش بله است یخورده مشکل ایجاد میکنه،که من زیاد دربند نیستم،جیلبریک که نمیدونم ولی میگن نکنین بهتره و اینکه میگن به گوشی اسیب میزنه،زیاد حساس نباش همه رو اپ استور بگیر جیلبریکم مثل کاستوم رامه ممکنه گوشیو داغون کنه یا ممکنه خوب از اب در بیاد.",Neutral,Neutral,228,Neutral,Neutral
» در پاسخ به نظر آریانا ا به تاریخ 1399/3/4 (برای نمایش نظر کلیک کنید...) بله دیگه,Neutral,Neutral,58,Neutral,Neutral
» در پاسخ به نظر عبداله ع به تاریخ 1399/3/2 (برای نمایش نظر کلیک کنید...) ببخشید همین آیپد یعنی iPad 7 رو خریدید؟,Neutral,Neutral,79,Neutral,Neutral
"» در پاسخ به نظر عبداله ع به تاریخ 1399/3/2 (برای نمایش نظر کلیک کنید...) سلام. سوالی اولی که داشتم، این گپی (این فاصله چند میلیمتری محل تماس نوک قلم با پیکسل ها) که وجود داره، آیا در هنگام نت برداری، مشکلی ایجاد می‌کنه یا نه!؟ چون توی اکثر فیلم های نقد و بررسی که در یوتیوب دیدم، به این مورد (حالا عیب میشه گفت یا نه) اشاره کردن. جایی رو هم در تهران نمی‌شناسم که این تبلت رو برا تست گذاشته باشن تا خودم بعد از تست به این نتیجه برسم که تاثیر گذار هست یا نه! (این تبلت رو فقط برا نت برداری می‌خوام بخرم). سوال دوم اینکه آیا جیلبریک کردن این آیپد امکان پذیر هست در ایران (من تا حالا با سیستم عامل اپل کار نکردم و هیچ اطلاعی ندارم در موردش) و اینکه جیلبریک کردن رو پیشنهاد میدید یا نه؟ - تشکر",Neutral,Neutral,491,Neutral,Neutral
"دوستان من رفتم مغازه مغادار اینو پیشنهاد داد منم 10و800خریدم 128گیگش.ففففففففففوووووووووللللللللللللععععععااااااااااااده سریع و روان و عالیه از بیست بین ایپدها میشه 21دیگه نمیدونم دربارش چی بگم،انقد خانوادم از این ایپد خوششون اومد کلا از5روز فقط 1روز نیم دستم بوده سوالی هست در خدمتم.",Neutral,Agree,210,Neutral,Agree
این آیپد جدیدی که اومده و تقریبا 13 اینچه و مال 2020 با بهترین مشخصاتش شده 60 میلیون تومن واقعا ارزشش رو داره بخرمش؟😂😪,Neutral,Neutral,88,Neutral,Neutral
» در پاسخ به نظر omid i به تاریخ 1399/2/29 (برای نمایش نظر کلیک کنید...) آیپد مینی به نظرم خوب نیست چون تبلت از لحاظ اینچ نه بزرگه نه کوچیک من یه چیزی نیاز دارم که بزرگ باشه به درد نقاشی بخوره همینم کفایت میکنه,Neutral,Disagree,151,Neutral,Disagree
» در پاسخ به نظر عبداله ع به تاریخ 1399/2/28 (برای نمایش نظر کلیک کنید...) خواهش میکنم♥,Neutral,Neutral,61,Neutral,Neutral
"» در پاسخ به نظر آریانا ا به تاریخ 1399/2/16 (برای نمایش نظر کلیک کنید...) چیپست، سی پی یو و گرافیک آیپد مینی ۵ از این قراره؛ ChipsetApple A12 Bionic (7 nm)CPUHexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest)GPUApple GPU (4-core graphics)واما این آیپد؛ChipsetApple A10 Fusion (16 nm)CPUQuad-core 2.34 GHz (2x Hurricane + 2x Zephyr)GPUPowerVR Series7XT Plus (six-core graphics)خودت مقایسه کن ببین کدوم بر دیگری برتری داره",Neutral,Neutral,223,Neutral,Neutral
"» در پاسخ به نظر آریانا ا به تاریخ 1399/2/15 (برای نمایش نظر کلیک کنید...) ممنون عزیز،دودل بودم.",Neutral,Neutral,68,Neutral,Neutral
» در پاسخ به نظر omid i به تاریخ 1398/11/14 (برای نمایش نظر کلیک کنید...) گرافیک آیپد 10.2 با آیپد مینی 5 برابری میکنه هیچ فرقی ندارن,Neutral,Neutral,95,Neutral,Neutral
» در پاسخ به نظر زهرا ع به تاریخ 1398/12/7 (برای نمایش نظر کلیک کنید...) ن ببین آیپد مینی شش هسته‌ایه ولی آیپد 10.2 چهار هسته‌ایه چیپست هم قبول دارم ک آیپد مینی بهتره ولی باز انتخاب من اینه,Neutral,Neutral,134,Neutral,Neutral
» در پاسخ به نظر عبداله ع به تاریخ 1399/2/8 (برای نمایش نظر کلیک کنید...) اینو بخر صد در صد بهتره من اینو دارم هم ب درد نقاشی میخوره و هم ب درد گیم و سایر فعلا ک این بهترین تبلته ب نظرم چون هنوز iPad pro 2020 نیومده گفتم صد در صد اینو بخر,Neutral,Neutral,156,Neutral,Neutral
» در پاسخ به نظر آریانا ا به تاریخ 1399/2/7 (برای نمایش نظر کلیک کنید...) خودم فهمیدم اره به درد نقاشی میخوره,Neutral,Neutral,75,Neutral,Neutral
دوستان بین این و 9.7 2108کدوم بهتره؟؟,Neutral,Neutral,28,Neutral,Neutral
این ایپد همه چیزش عالیه فقط اینو میخوام که پنسیل باهاش خوب کار میکنه آخه من برای نقاشی میخوامش تو رو خدا یکی جوابمو بده,Neutral,Agree,88,Neutral,Agree
» در پاسخ به نظر زهرا ع به تاریخ 1398/12/7 (برای نمایش نظر کلیک کنید...) دقیقا همونطور که میگی هست اما این آیپد نقاط مثبت خاص خودشو داره که آیپد مینی نداره مثل صفحه نمایش بزرگتر قیمت پایین‌تر و مناسب برای کارهای معمولی و حتی بالاتر از معمول,Neutral,Agree,169,Neutral,Agree
» در پاسخ به نظر متین م به تاریخ 1398/6/25 (برای نمایش نظر کلیک کنید...) بازهم گرانه... واقعا با این سخت افزار قدیمی و ضعیف و بدنه بازیافتی به نظر شما ۵ میلیون تومان برای این تبلت منصفانه است!!!؟؟؟؟ خدایی ۳ میلیونش گرانه و قیمت منصفانه این تبلت حتی در این شرایط ارزی بیشتر از ۲ میلیون هم نمی ارزه,Neutral,Disagree,213,Neutral,Neutral
» در پاسخ به نظر omid i به تاریخ 1398/11/14 (برای نمایش نظر کلیک کنید...) ipad mini 5 هشت هسته ای هست ولی این چهار هسته ای در ضمن ipad mini 5 هم از قلم و کیبور پشتیبانی میکنه چیپست مینی 2019 هم بالاتره با این همه برتری ایپد مینی هم خیلی خوش دسته و ارزش خرید خیلی بالاتری داره,Neutral,Agree,178,Neutral,Agree
» در پاسخ به نظر زهرا ع به تاریخ 1398/11/6 (برای نمایش نظر کلیک کنید...) خب تفاوتشون اینه که ای آیپد صفحه نمایش بزرگتر داره و برای کسی که نیازی به گرافیک قویتر نداره و بیشتر دمبال کتاب خوندن و تماشای ویدئو هست خیلی مفید می‌تونه باشه تازه از کیبورد و قلم هم پشتیبانی می‌کنه درکل انتخاب بدی نیست,Neutral,Agree,211,Neutral,Agree
چیپست این ایپد a10 هست در صورتی که ipad mini 2019 چیپست a12 داره و محصولی بوده که مدل به مدل از mini 1 تا mini 5 بهتر و قوی تر شده پول این مدل هم حدودا با ipad mini 2019 یکیه خودم mini 2019 دارم,Neutral,Neutral,111,Neutral,Neutral
» در پاسخ به نظر بهاره ر به تاریخ 1398/9/9 (برای نمایش نظر کلیک کنید...) با سلامببين نميشه بگي جايگزين چون بعضي از كإرهايي كه ميشه با مك بوك كرد نميشه با آيپد كرد اما گزينه بدّي هم اگه ميخواي يه چيز جمع و جور تر بگيري نيستش.,Neutral,Neutral,167,Neutral,Neutral
» در پاسخ به نظر abtin f به تاریخ 1398/9/13 (برای نمایش نظر کلیک کنید...) بازم اشتباه تایپ خود رو اصلاح میکنم خب اگه اپل پنسل نیست ..... از دست این اصلاح خودکار کیبورد چیکار کنم من یه چیزی می‌نویسم اونم از خودش یه چیز دیگه !,Neutral,Neutral,156,Neutral,Neutral
» در پاسخ به نظر abtin f به تاریخ 1398/9/13 (برای نمایش نظر کلیک کنید...) خب اپل پنسل مهر یه قلم دیگه از واکام بخر ببین جواب میده یا نه... در هرحال نفروشش پشیمون میشی تبلت خیلی کاراییه,Neutral,Agree,126,Neutral,Agree
این آیپد مدل 32 گیگش ... در امریکا در BlackFriday شده بود 229 دلار... مدل 128 هم 319 دلار. منم خریدم ... ولی میخوام پس بدم چون به نظرم برای استفاده از apple pencil اصلا مناسب نیست. انگاری یه شیشه کلفت بین سطح صفحه و نمایشگر هست که این فاصله باعث میشه آدم موقع نوشتن حس بدی پیدا کنه.,Neutral,Disagree,177,Neutral,Disagree
دوستانی که تجربه استفاده از آیپد دارنآیپد برای دانشگاه می تونه جایگزین لب تاپ بشه؟ از اونجایی که از زبان فارسی پشتیبانی نمی کنه برنامه ای جایگزین پاورپوینت داره؟؟ممنون,Neutral,Neutral,125,Neutral,Neutral
نسخه وای فای جی پی اس دار نداره اگه داشت خیلی عالی میشد البته نمیدونم امکان این هست یانه ؟!,Neutral,Neutral,67,Neutral,Neutral
بعله این ایپد خیلی مقرون به صرفه هست پیشنهاد میکنم خواستید بخرید اگه دوستی آشنایی خارج از کشور دارید به اونها بگید اونا بیارن واستون اینطوری دلالها رو دور میزنید و جنس خریداری شده با قیمت واقعی دستتون میرسهبعد یکی واسم توضیح بده این فلش یواس بی دوسر که تو تصویر معرفی این تبلت دیده میشه دقیقا چیه چه کاربردی داره مثلا مثل otg عمل میکنه یا طور دیگه خیلی ممنون از لطفتون,Neutral,Agree,268,Neutral,Agree
» در پاسخ به نظر میلاد ب به تاریخ 1398/6/22 (برای نمایش نظر کلیک کنید...) نه حدود ۵ ملیون,Neutral,Neutral,62,Neutral,Neutral
"این تبلت با این ویژگی ها قطعا از ای پد های میان رده خواهد بود،ولی در ایران ما متأسفانه باید این راهم بالای ۶میلیون تومان بخریم،⁦☹️⁩😞😭😭",Neutral,Disagree,101,Neutral,Disagree
اصلا ارزش این همه هزینه رو نداره ایپد ایر ۵ که خیلی بهتره از این,Neutral,Disagree,45,Neutral,Agree
قیمت آیپد ۱۰ از آیپد ایر۵ بالاتر!بسیار منطقی و درست.آقای فروشنده شما مشتی هستی و پرطرفدار این ۲۹ میلیون چیه دیگه؟؟,Neutral,Disagree,95,Neutral,Neutral
